name	type	latlon
Human Resources	wifi	"37.22214856,-93.18888021"
Training	wifi	"37.31398802,-93.37035742"
Training	wifi	"37.11812738,-93.24482779"
Accounting	wifi	"37.2258907,-93.34859834"
Engineering	wifi	"37.19591345,-93.18580474"
Marketing	wifi	"37.2831925,-93.166608"
Support	wifi	"37.12615702,-93.17362753"
Sales	wifi	"37.18020085,-93.23910527"
Product Management	wifi	"37.23440086,-93.11488856"
Accounting	wifi	"37.26943077,-93.12923538"
Business Development	wifi	"37.26752998,-93.29370585"
Engineering	wifi	"37.19770015,-93.27683632"
Human Resources	wifi	"37.20996423,-93.29266984"
Accounting	wifi	"37.26510681,-93.20544448"
Marketing	wifi	"37.30048606,-93.28953935"
Training	wifi	"37.24191139,-93.34114536"
Human Resources	wifi	"37.17157124,-93.22169841"
Business Development	wifi	"37.17428715,-93.23960842"
Product Management	wifi	"37.10900793,-93.35591285"
Business Development	wifi	"37.25574423,-93.18566309"
Legal	wifi	"37.22273319,-93.17274048"
Research and Development	wifi	"37.24668231,-93.26222012"
Product Management	wifi	"37.15179737,-93.38116136"
Sales	wifi	"37.24992175,-93.42444543"
Business Development	wifi	"37.25126132,-93.2945315"
Marketing	wifi	"37.11200058,-93.36937728"
Human Resources	wifi	"37.3331835,-93.3375208"
Product Management	wifi	"37.11577507,-93.36540741"
Legal	wifi	"37.2308933,-93.12409926"
Marketing	wifi	"37.13429015,-93.28183138"
Business Development	wifi	"37.22134182,-93.16014106"
Marketing	wifi	"37.21299013,-93.43764262"
Support	wifi	"37.24907046,-93.20671476"
Training	wifi	"37.23070587,-93.45207935"
Sales	wifi	"37.13843087,-93.23708293"
Business Development	wifi	"37.13279295,-93.24120293"
Services	wifi	"37.28407084,-93.336361"
Services	wifi	"37.20075756,-93.40684561"
Marketing	wifi	"37.30650587,-93.33990124"
Training	wifi	"37.09766318,-93.3159079"
Research and Development	wifi	"37.19901717,-93.24884482"
Sales	wifi	"37.15886102,-93.42975317"
Support	wifi	"37.14690834,-93.14151211"
Services	wifi	"37.25422865,-93.34224833"
Support	wifi	"37.15632725,-93.43024111"
Support	wifi	"37.15757743,-93.40610857"
Human Resources	wifi	"37.10827243,-93.37277428"
Sales	wifi	"37.23805573,-93.22944618"
Training	wifi	"37.16398611,-93.38673093"
Business Development	wifi	"37.1342768,-93.36096056"
Services	wifi	"37.11368499,-93.38361638"
Marketing	wifi	"37.19691068,-93.46319679"
Research and Development	wifi	"37.21545114,-93.19811253"
Product Management	wifi	"37.26559374,-93.27262758"
Product Management	wifi	"37.21834055,-93.39184764"
Business Development	wifi	"37.27256831,-93.44621761"
Training	wifi	"37.09767111,-93.18169228"
Human Resources	wifi	"37.17208417,-93.42107638"
Legal	wifi	"37.2393822,-93.43772398"
Business Development	wifi	"37.32269933,-93.3053039"
Engineering	wifi	"37.28509554,-93.21288768"
Research and Development	wifi	"37.096049,-93.34097007"
Sales	wifi	"37.16006317,-93.21221922"
Product Management	wifi	"37.19589845,-93.29430253"
Sales	wifi	"37.14125598,-93.13877963"
Marketing	wifi	"37.23962045,-93.16421664"
Legal	wifi	"37.21683195,-93.39650651"
Marketing	wifi	"37.24998121,-93.39330399"
Support	wifi	"37.16344147,-93.17059074"
Product Management	wifi	"37.17023273,-93.17781858"
Engineering	wifi	"37.11273344,-93.42273211"
Support	wifi	"37.17102995,-93.17171537"
Legal	wifi	"37.14607203,-93.29628834"
Accounting	wifi	"37.17595943,-93.37643027"
Sales	wifi	"37.24688672,-93.12263889"
Sales	wifi	"37.32499151,-93.19172118"
Legal	wifi	"37.14740589,-93.16853594"
Marketing	wifi	"37.26533051,-93.25609215"
Business Development	wifi	"37.2047379,-93.38409833"
Business Development	wifi	"37.16270409,-93.23653346"
Research and Development	wifi	"37.26740096,-93.28865921"
Business Development	wifi	"37.13727224,-93.44567963"
Human Resources	wifi	"37.13071294,-93.36496885"
Research and Development	wifi	"37.26034949,-93.29535039"
Research and Development	wifi	"37.13413478,-93.16656983"
Sales	wifi	"37.21326617,-93.23077834"
Services	wifi	"37.26916868,-93.2679973"
Research and Development	wifi	"37.17607795,-93.21645612"
Legal	wifi	"37.14789647,-93.34987478"
Services	wifi	"37.29338365,-93.34600985"
Business Development	wifi	"37.25472957,-93.38157133"
Product Management	wifi	"37.25112037,-93.16242258"
Training	wifi	"37.20539896,-93.33722806"
Marketing	wifi	"37.15540166,-93.23552289"
Sales	wifi	"37.28452164,-93.17221078"
Legal	wifi	"37.23583668,-93.44107789"
Business Development	wifi	"37.27199005,-93.22466512"
Training	wifi	"37.12172785,-93.2674715"
Training	wifi	"37.17788574,-93.28808297"
Product Management	wifi	"37.28552644,-93.18070007"
Business Development	wifi	"37.25526344,-93.38760233"
Business Development	wifi	"37.32535175,-93.27893454"
Research and Development	wifi	"37.14541139,-93.33851268"
Human Resources	wifi	"37.17382901,-93.41215658"
Legal	wifi	"37.22624791,-93.22074441"
Legal	wifi	"37.32098533,-93.25041454"
Research and Development	wifi	"37.10091018,-93.30862649"
Research and Development	wifi	"37.27493259,-93.29301639"
Training	wifi	"37.29185707,-93.3428384"
Sales	wifi	"37.21652068,-93.38217754"
Legal	wifi	"37.29601344,-93.39469689"
Accounting	wifi	"37.20197721,-93.41208528"
Business Development	wifi	"37.29976682,-93.26211057"
Services	wifi	"37.16104957,-93.41991146"
Marketing	wifi	"37.25521085,-93.14061976"
Accounting	wifi	"37.21088067,-93.20963301"
Human Resources	wifi	"37.16666966,-93.32324554"
Research and Development	wifi	"37.20286966,-93.28972863"
Engineering	wifi	"37.27218394,-93.40630826"
Human Resources	wifi	"37.10835043,-93.30039155"
Engineering	wifi	"37.1215164,-93.40530482"
Support	wifi	"37.30862009,-93.21954049"
Research and Development	wifi	"37.098133,-93.2339258"
Services	wifi	"37.21448295,-93.23911362"
Marketing	wifi	"37.21579641,-93.31490061"
Legal	wifi	"37.21132276,-93.21831249"
Training	wifi	"37.17364066,-93.43405037"
Legal	wifi	"37.3083273,-93.22278969"
Sales	wifi	"37.25479634,-93.12277241"
Sales	wifi	"37.06711838,-93.31457008"
Product Management	wifi	"37.25370655,-93.15993691"
Marketing	wifi	"37.25864058,-93.44058195"
Engineering	wifi	"37.20835769,-93.34325833"
Services	wifi	"37.12975078,-93.3383023"
Product Management	wifi	"37.14395963,-93.41338113"
Research and Development	wifi	"37.22312016,-93.4458539"
Accounting	wifi	"37.16507432,-93.12062075"
Product Management	wifi	"37.26715898,-93.355893"
Marketing	wifi	"37.22333009,-93.19995331"
Human Resources	wifi	"37.18800069,-93.17011645"
Training	wifi	"37.1706339,-93.21538032"
Research and Development	wifi	"37.14315167,-93.38180579"
Research and Development	wifi	"37.07528327,-93.34817631"
Human Resources	wifi	"37.19216028,-93.41780628"
Support	wifi	"37.22225642,-93.25198769"
Marketing	wifi	"37.17652712,-93.18567768"
Services	wifi	"37.22762504,-93.260703"
Sales	wifi	"37.11209549,-93.4180151"
Services	wifi	"37.21612334,-93.34249884"
Support	wifi	"37.23880177,-93.14950371"
Research and Development	wifi	"37.08781852,-93.2507328"
Business Development	wifi	"37.29571987,-93.4316739"
Accounting	wifi	"37.27980234,-93.13568031"
Sales	wifi	"37.27746421,-93.33266277"
Business Development	wifi	"37.18171773,-93.19583347"
Product Management	wifi	"37.24879233,-93.28939051"
Services	wifi	"37.28388605,-93.26147491"
Product Management	wifi	"37.15748807,-93.31894554"
Product Management	wifi	"37.23193894,-93.17058307"
Sales	wifi	"37.19457862,-93.2128272"
Accounting	wifi	"37.24997339,-93.42685425"
Services	wifi	"37.1351349,-93.35143893"
